PROPERTY_TOTAL_VALUE,AREA_EN,ACTUAL_AREA,PROCEDURE_YEAR,PROCEDURE_NUMBER,INSTANCE_DATE,ACTUAL_WORTH,PROCEDURE_AREA,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN
"497855","Me'Aisem First","55.91","2026","71","2026-01-05 20:43:56","497854.68","55.91","Unit","Flat"
"497855","Me'Aisem First","55.91","2026","70","2026-01-05 20:36:34","497854.68","55.91","Unit","Flat"
"497855","Me'Aisem First","55.91","2026","69","2026-01-05 20:30:00","497854.68","55.91","Unit","Flat"
"497855","Me'Aisem First","55.91","2026","112","2026-01-06 20:31:58","497854.68","55.91","Unit","Flat"
"498915","Me'Aisem First","55.97","2026","192","2026-01-08 20:46:45","498914.71","55.97","Unit","Flat"
"499096","Me'Aisem First","55.97","2026","113","2026-01-06 20:34:39","499095.55","55.97","Unit","Flat"
"501882","Me'Aisem First","56.39","2026","207","2026-01-08 21:19:35","501881.86","56.39","Unit","Flat"
"501916","Me'Aisem First","56.39","2026","339","2026-01-14 10:10:05","501916.46","56.39","Unit","Flat"
"502324","Me'Aisem First","56.39","2026","197","2026-01-08 20:58:04","502324.38","56.39","Unit","Flat"
"502359","Me'Aisem First","56.39","2026","5","2026-01-02 08:06:40","502358.97","56.39","Unit","Flat"
"506815","Me'Aisem First","57.94","2026","125","2026-01-06 21:09:05","506814.66","57.94","Unit","Flat"
"507127","Me'Aisem First","57.95","2026","115","2026-01-06 20:41:54","507127.33","57.95","Unit","Flat"
"508067","Me'Aisem First","57.53","2026","74","2026-01-05 21:16:23","508066.88","57.53","Unit","Flat"
"508224","Me'Aisem First","57.53","2026","198","2026-01-08 21:00:03","508224.24","57.53","Unit","Flat"
"508759","Me'Aisem First","57.94","2026","204","2026-01-08 21:12:41","508759.05","57.94","Unit","Flat"
"508759","Me'Aisem First","57.94","2026","203","2026-01-08 21:10:16","508759.05","57.94","Unit","Flat"
"508889","Me'Aisem First","57.94","2026","196","2026-01-08 20:55:51","508888.95","57.94","Unit","Flat"
"508981","Me'Aisem First","58.18","2026","122","2026-01-06 21:02:05","508980.79","58.18","Unit","Flat"
"509156","Me'Aisem First","58.2","2026","116","2026-01-06 20:43:49","509155.75","58.2","Unit","Flat"
"509554","Me'Aisem First","58.27","2026","124","2026-01-06 21:07:00","509554.13","58.27","Unit","Flat"
"509776","Me'Aisem First","57.91","2026","81","2026-01-05 21:36:20","509776.11","57.91","Unit","Flat"
"509935","Me'Aisem First","57.91","2026","208","2026-01-08 21:22:07","509934.51","57.91","Unit","Flat"
"510214","Me'Aisem First","58.08","2026","190","2026-01-08 20:40:59","510214.07","58.08","Unit","Flat"
"510569","Al Barsha South Fifth","39.53","2026","2070","2026-04-22 05:02:41","510569.28","39.53","Unit","Flat"
"510862","Wadi Al Safa 2","77.71","2026","183","2026-01-08 13:09:06","510861.78","77.71","Unit","Flat"
"510933","Me'Aisem First","58.18","2026","210","2026-01-08 21:26:35","510933.24","58.18","Unit","Flat"
"510933","Me'Aisem First","58.18","2026","126","2026-01-06 21:11:57","510933.24","58.18","Unit","Flat"
"510933","Me'Aisem First","58.18","2026","127","2026-01-06 21:13:53","510933.24","58.18","Unit","Flat"
"510933","Me'Aisem First","58.18","2026","211","2026-01-08 21:28:56","510933.24","58.18","Unit","Flat"
"511064","Me'Aisem First","58.18","2026","117","2026-01-06 20:46:12","511063.67","58.18","Unit","Flat"
"511064","Me'Aisem First","58.18","2026","121","2026-01-06 20:55:19","511063.67","58.18","Unit","Flat"
"511064","Me'Aisem First","58.18","2026","133","2026-01-06 21:37:26","511063.67","58.18","Unit","Flat"
"511064","Me'Aisem First","58.18","2026","135","2026-01-06 21:43:27","511063.67","58.18","Unit","Flat"
"511109","Me'Aisem First","58.2","2026","191","2026-01-08 20:44:33","511108.87","58.2","Unit","Flat"
"511239","Me'Aisem First","58.2","2026","118","2026-01-06 20:49:37","511239.35","58.2","Unit","Flat"
"511510","Me'Aisem First","58.27","2026","205","2026-01-08 21:14:59","511509.6","58.27","Unit","Flat"
"518480","Jabal Ali First","37.17","2026","1480","2026-03-13 05:15:49","518480.32","37.17","Unit","Flat"
"520070","Me'Aisem First","59.67","2026","83","2026-01-05 21:44:50","520069.96","59.67","Unit","Flat"
"521695","Jabal Ali","45","2026","540","2026-01-22 09:08:24","521695.04","45","Unit","Flat"
"523379","Madinat Hind 4","39.31","2026","480","2026-01-20 10:36:24","523378.87","39.31","Unit","Flat"
"524838","Me'Aisem First","60.44","2026","120","2026-01-06 20:53:16","524838.12","60.44","Unit","Flat"
"525047","Me'Aisem First","60.19","2026","3","2026-01-02 07:57:03","525046.97","60.19","Unit","Flat"
"525239","Me'Aisem First","60.19","2026","130","2026-01-06 21:20:18","525239.26","60.19","Unit","Flat"
"526225","Me'Aisem First","60.23","2026","134","2026-01-06 21:40:08","526225.04","60.23","Unit","Flat"
"540849","Me'Aisem First","60.59","2026","119","2026-01-06 20:51:31","540848.8","60.59","Unit","Flat"
"541684","Me'Aisem First","60.59","2026","4","2026-01-02 07:59:40","541684.15","60.59","Unit","Flat"
"563051","Me'Aisem First","66.62","2026","79","2026-01-05 21:31:18","563050.54","66.62","Unit","Flat"
"564941","Me'Aisem First","67.36","2026","114","2026-01-06 20:39:57","564941.03","67.36","Unit","Flat"
"572215","Business Bay","27.31","2026","248","2026-01-12 10:39:31","572215.09","27.31","Unit","Office"
"583452","Al Barshaa South Second","38.73","2026","662","2026-01-28 12:47:17","583451.96","38.73","Unit","Flat"
"586232","Nadd Hessa","75.12","2026","1291","2026-02-26 09:38:21","586232.22","75.12","Unit","Flat"
"607504","Al Muteena","125.42","2026","891","2026-02-09 11:25:13","607504","125.42","Land","Commercial"
"613321","Nadd Hessa","79.45","2026","1292","2026-02-26 09:45:30","613320.64","79.45","Unit","Flat"
"625948","Nadd Hessa","79.11","2026","1281","2026-02-25 12:31:15","625947.97","79.11","Unit","Flat"
"635366","Al Barsha South Fourth","69.74","2026","1257","2026-02-24 13:09:43","635365.76","69.74","Unit","Flat"
"649009","Al Muteena","120.59","2026","785","2026-02-03 16:23:14","649009","120.59","Land","Commercial"
"656088","Nadd Hessa","78.56","2026","1293","2026-02-26 09:52:47","656087.77","78.56","Unit","Flat"
"670103","Al Barshaa South Third","83.06","2026","272","2026-01-12 16:33:08","670103.28","83.06","Unit","Flat"
"682396","Nadd Hessa","89.92","2026","1373","2026-03-04 11:25:38","682395.72","89.92","Unit","Flat"
"684803","Business Bay","29.2","2026","1015","2026-02-12 12:33:36","684803.14","29.2","Unit","Office"
"712742","Business Bay","38.31","2026","1155","2026-02-18 12:39:41","712741.5","38.31","Unit","Flat"
"716056","Rega Al Buteen","85.75","2026","299","2026-01-13 11:34:11","716055.85","85.75","Unit","Flat"
"726415","Al Hebiah Fourth","86.01","2026","292","2026-01-13 11:11:19","726415.17","86.01","Unit","Flat"
"733204","Al Hebiah Fourth","87.12","2026","296","2026-01-13 11:21:05","733203.5","87.12","Unit","Flat"
"737904","Al Barshaa South Third","58.18","2026","584","2026-01-23 21:15:42","737904.25","58.18","Unit","Office"
"740149","Jabal Ali","78","2026","877","2026-02-07 17:46:36","740148.58","78","Unit","Flat"
"744795","Al Hebiah Fourth","89.21","2026","286","2026-01-13 10:39:10","744794.99","89.21","Unit","Flat"
"745706","Al Hebiah Fourth","89.21","2026","289","2026-01-13 10:55:45","745706.03","89.21","Unit","Flat"
"745748","Al Hebiah Fourth","89.21","2026","284","2026-01-13 10:29:37","745747.78","89.21","Unit","Flat"
"747083","Al Hebiah Fourth","89.21","2026","298","2026-01-13 11:25:58","747082.97","89.21","Unit","Flat"
"747294","Al Hebiah Fourth","89.21","2026","291","2026-01-13 11:07:04","747293.75","89.21","Unit","Flat"
"748589","Al Hebiah Fourth","89.79","2026","290","2026-01-13 11:01:45","748589.1","89.79","Unit","Flat"
"757113","Al Merkadh","29.07","2026","1973","2026-04-16 15:51:52","757112.5","29.07","Unit","Flat"
"758221","Al Hebiah Fourth","92.18","2026","297","2026-01-13 11:23:40","758220.71","92.18","Unit","Flat"
"759410","Al Hebiah Fourth","92.34","2026","294","2026-01-13 11:17:45","759409.71","92.34","Unit","Flat"
"777625","Al Yelayiss 2","44.54","2026","2050","2026-04-21 08:20:08","777624.68","44.54","Unit","Flat"
"778929","Nadd Hessa","97.26","2026","1289","2026-02-26 09:19:44","778928.75","97.26","Unit","Flat"
"780452","Nadd Hessa","97.26","2026","1290","2026-02-26 09:29:53","780452.27","97.26","Unit","Flat"
"781849","Al Hebiah Fourth","93.63","2026","288","2026-01-13 10:48:52","781849.17","93.63","Unit","Flat"
"781915","Nadd Hessa","97.26","2026","1288","2026-02-26 09:13:06","781915.28","97.26","Unit","Flat"
"782175","Al Hebiah Fourth","93.63","2026","287","2026-01-13 10:43:56","782174.7","93.63","Unit","Flat"
"784149","Al Hebiah Fourth","94.2","2026","293","2026-01-13 11:14:29","784148.5","94.2","Unit","Flat"
"798464","Al Hebiah Third","43.67","2026","109","2026-01-06 19:49:21","798464.16","43.67","Unit","Hotel Rooms"
"798518","Business Bay","37.86","2026","367","2026-01-14 13:19:11","798518.23","37.86","Unit","Flat"
"800000","Wadi Al Safa 3","35.97","2026","1382","2026-03-04 14:06:00","800000","35.97","Unit","Flat"
"812463","Warsan Fourth","77.75","2026","1915","2026-04-13 14:37:01","812462.51","77.75","Unit","Flat"
"820360","Wadi Al Safa 5","115.86","2026","1246","2026-02-24 12:03:34","820359.69","115.86","Unit","Flat"
"826027","Al Thanyah First","51","2026","1031","2026-02-12 18:38:49","826027.44","51","Unit","Flat"
"827258","Al Barsha South Fourth","63.95","2026","2079","2026-04-22 10:45:18","827257.69","63.95","Unit","Flat"
"841501","Al Barshaa South Third","68.64","2026","1559","2026-03-18 19:02:49","841500.72","68.64","Unit","Flat"
"844839","Al Hebiah Fifth","93.73","2026","1297","2026-02-26 11:24:21","844839.27","93.73","Unit","Flat"
"854676","Nadd Hessa","84.73","2026","1695","2026-03-31 10:33:21","854675.73","84.73","Unit","Flat"
"874572","Business Bay","49.59","2026","249","2026-01-12 10:47:20","874572.33","49.59","Unit","Office"
"877158","Al Barsha South Fourth","56.55","2026","1214","2026-02-23 12:58:47","877157.53","56.55","Unit","Flat"
"878906","Um Hurair Second","51.76","2026","2006","2026-04-17 12:17:38","878906.47","51.76","Unit","Flat"
"882529","Al Hebiah Fourth","101.01","2026","1508","2026-03-16 10:28:31","882528.92","101.01","Unit","Flat"
"886691","Al Barshaa South Third","79.47","2026","2114","2026-04-23 15:49:51","886691.33","79.47","Unit","Flat"
"887456","Al Barsha South Fourth","72.05","2026","1633","2026-03-26 01:25:36","887455.98","72.05","Unit","Flat"
"891315","Al Barsha South Fourth","57.37","2026","1208","2026-02-23 12:44:37","891315.29","57.37","Unit","Flat"
"893541","Um Hurair Second","52.62","2026","2010","2026-04-17 12:35:25","893540.98","52.62","Unit","Flat"
"895803","Al Barsha South Fourth","57.39","2026","1215","2026-02-23 13:02:13","895803.42","57.39","Unit","Flat"
"897330","Al Barsha South Fourth","57.46","2026","1207","2026-02-23 12:40:50","897329.96","57.46","Unit","Flat"
"912753","Dubai Investment Park Second","143.03","2026","138","2026-01-07 09:08:58","912753.13","143.03","Unit","Flat"
"916910","Al Barsha South Fourth","100.89","2026","99","2026-01-06 13:41:55","916909.98","100.89","Unit","Flat"
"924976","Al Barshaa South Third","75.37","2026","1777","2026-04-06 11:31:23","924976.49","75.37","Unit","Flat"
"930838","Marsa Dubai","47.73","2026","1793","2026-04-07 08:23:09","930838.18","47.73","Unit","Flat"
"936840","Al Barsha South Fourth","75.13","2026","2078","2026-04-22 10:36:48","936840.49","75.13","Unit","Flat"
"960778","Business Bay","43.82","2026","305","2026-01-13 13:32:45","960777.73","43.82","Unit","Flat"
"962216","Marsa Dubai","41.42","2026","1486","2026-03-13 11:20:38","962216.11","41.42","Unit","Flat"
"963565","Business Bay","43.99","2026","302","2026-01-13 12:42:22","963565.35","43.99","Unit","Flat"
"963975","Um Hurair Second","57.09","2026","1874","2026-04-09 15:53:09","963975.36","57.09","Unit","Flat"
"964754","Um Hurair Second","57.27","2026","2009","2026-04-17 12:31:35","964753.89","57.27","Unit","Flat"
"964754","Um Hurair Second","57.27","2026","2000","2026-04-17 11:51:33","964753.89","57.27","Unit","Flat"
"965157","Um Hurair Second","57.16","2026","2005","2026-04-17 12:12:52","965157.33","57.16","Unit","Flat"
"978559","Al Barsha South Fourth","87.81","2026","452","2026-01-19 09:28:12","978559.15","87.81","Unit","Flat"
"982452","Al Jadaf","67.78","2026","172","2026-01-08 11:07:11","982452.03","67.78","Unit","Flat"
"988287","Al Barsha South Fourth","61.21","2026","866","2026-02-06 11:11:17","988287","61.21","Unit","Flat"
"990286","Wadi Al Safa 2","157.23","2026","37","2026-01-04 19:15:01","990285.94","157.23","Unit","Flat"
"1000000","Al Muteena","183.95","2026","1623","2026-03-25 10:41:45","1000000","183.95","Land","Commercial"
"1001097","Hor Al Anz","185.81","2026","1533","2026-03-17 11:15:45","1001097","186.01","Land","Residential"
"1010307","Al Barshaa South Third","84.15","2026","583","2026-01-23 21:11:26","1010307.35","84.15","Unit","Office"
"1018258","Me'Aisem First","129.14","2026","1481","2026-03-13 09:22:48","1018258.33","129.14","Unit","Flat"
"1033109","Al Hebiah Fourth","112.48","2026","1483","2026-03-13 09:31:35","1033109.14","112.48","Unit","Flat"
"1035916","Business Bay","37.9","2026","1560","2026-03-19 10:46:41","1035915.59","37.9","Unit","Flat"
"1055745","Warsan Fourth","105.82","2026","1914","2026-04-13 14:33:35","1055745.02","105.82","Unit","Flat"
"1064414","Business Bay","68.53","2026","731","2026-02-02 12:53:37","1064413.52","68.53","Unit","Office"
"1074355","Al Merkadh","55.45","2026","1413","2026-03-09 09:31:00","1074355.39","55.45","Unit","Flat"
"1080007","Al Muteena","250.84","2026","900","2026-02-09 12:51:42","1080007","250.84","Land","Commercial"
"1085481","Al Jadaf","75.75","2026","620","2026-01-26 13:50:50","1085481.04","75.75","Unit","Flat"
"1100022","Al Muteena","185.81","2026","59","2026-01-05 13:30:21","1100022","185.81","Land","Commercial"
"1109712","Wadi Al Safa 4","130","2026","461","2026-01-19 10:20:27","1109711.57","130","Unit","Flat"
"1123751","Hor Al Anz","232.25","2026","1165","2026-02-19 10:40:46","1123751","232","Land","Residential"
"1125011","Hor Al Anz","232.26","2026","1166","2026-02-19 10:52:55","1125011","232.26","Land","Residential"
"1127353","Al Thanyah Third","63.19","2026","460","2026-01-19 10:14:45","1127353.48","63.19","Unit","Flat"
"1127683","Marsa Dubai","77.04","2026","1505","2026-03-16 09:56:39","1127682.62","77.04","Unit","Flat"
"1128245","Al Hebiah Fourth","135.06","2026","1510","2026-03-16 10:52:13","1128245.07","135.06","Unit","Flat"
"1131111","Um Hurair Second","68.35","2026","1996","2026-04-17 11:34:48","1131111.49","68.35","Unit","Flat"
"1135480","Al Thanyah Fifth","80.04","2026","1482","2026-03-13 09:26:13","1135479.93","80.04","Unit","Office"
"1154166","Um Hurair Second","67.89","2026","2011","2026-04-17 12:39:41","1154166.46","67.89","Unit","Flat"
"1159209","Um Hurair Second","70.05","2026","1999","2026-04-17 11:47:16","1159208.93","70.05","Unit","Flat"
"1177387","Business Bay","80.91","2026","843","2026-02-05 14:14:24","1177386.69","80.91","Unit","Flat"
"1182532","Al Barsha South Fourth","86.47","2026","451","2026-01-19 09:24:35","1182532.17","86.47","Unit","Flat"
"1184354","Burj Khalifa","59.06","2026","1822","2026-04-08 12:23:52","1184354.18","59.06","Unit","Office"
"1184547","Um Hurair Second","71.49","2026","2001","2026-04-17 11:56:16","1184546.73","71.49","Unit","Flat"
"1187607","Al Jadaf","65.65","2026","2115","2026-04-23 19:03:13","1187606.88","65.65","Unit","Flat"
"1191581","Warsan Fourth","120.7","2026","1916","2026-04-13 14:39:14","1191581.47","120.7","Unit","Flat"
"1194255","Al Hebiah Fourth","110.95","2026","1158","2026-02-18 12:44:07","1194255","110.95","Unit","Flat"
"1200000","Al Rashidiya","215.54","2026","1686","2026-03-31 09:20:25","1200000","215.54","Land","Residential"
"1200000","Al Waheda","232.26","2026","1557","2026-03-18 15:18:34","1200000","232.26","Land","Residential"
"1200000","Jabal Ali First","111.05","2026","1394","2026-03-05 12:07:40","1200000","111.05","Unit","Flat"
"1200000","Al Rashidiya","215.54","2026","849","2026-02-05 15:03:35","1200000","215.54","Land","Residential"
"1206285","Al Barshaa South Third","76","2026","1473","2026-03-12 12:14:39","1206284.87","76","Unit","Flat"
"1210000","Al Barsha South Fifth","64.45","2026","1360","2026-03-03 12:00:44","1210000","64.45","Unit","Flat"
"1240270","Al Thanyah Third","73.34","2026","459","2026-01-19 10:10:07","1240270.15","73.34","Unit","Flat"
"1244184","Marsa Dubai","87.46","2026","418","2026-01-15 22:01:24","1244183.63","87.46","Unit","Flat"
"1265017","Hor Al Anz","213.68","2026","1132","2026-02-17 10:09:48","1265017","213.68","Land","Residential"
"1269858","Al Yelayiss 2","91.31","2026","1488","2026-03-13 11:50:31","1269858.15","91.31","Unit","Flat"
"1270491","Madinat Al Mataar","92.27","2026","1726","2026-04-01 11:57:27","1270491.46","92.27","Unit","Flat"
"1276028","Eyal Nasser","107.77","2026","1330","2026-03-02 00:00:29","1276028","107.77","Land","Commercial"
"1281131","Al Thanyah Third","72.15","2026","1526","2026-03-16 14:28:37","1281130.65","72.15","Unit","Flat"
"1285790","Al Barsha South Fourth","88.96","2026","1217","2026-02-23 13:08:21","1285790.36","88.96","Unit","Flat"
"1287315","Al Barsha South Fourth","88.96","2026","1211","2026-02-23 12:52:53","1287314.83","88.96","Unit","Flat"
"1287524","Hor Al Anz","239.23","2026","668","2026-01-28 17:51:40","1287524","239.23","Land","Residential"
"1294144","Hor Al Anz","218.6","2026","312","2026-01-13 14:40:50","1294144","218.6","Land","Residential"
"1298593","Al Barsha South Fourth","89.52","2026","1206","2026-02-23 12:37:12","1298592.85","89.52","Unit","Flat"
"1300000","Al Rashidiya","332.31","2026","778","2026-02-03 11:38:37","1300000","332.31","Land","Residential"
"1300000","Al Waheda","232.26","2026","1776","2026-04-06 11:02:52","1300000","232.26","Land","Residential"
"1301312","Mirdif","150.78","2026","678","2026-01-29 08:20:04","1301311.66","150.78","Unit","Flat"
"1303130","Al Barsha South Fourth","89.73","2026","1210","2026-02-23 12:49:24","1303129.71","89.73","Unit","Flat"
"1314485","Nad Al Shiba First","105.89","2026","177","2026-01-08 12:01:43","1314484.87","105.89","Unit","Flat"
"1320015","Al Bada","222.97","2026","661","2026-01-28 11:07:21","1320015","222.97","Land","Residential"
"1324367","Al Thanyah Third","70.14","2026","1438","2026-03-10 10:50:52","1324366.89","70.14","Unit","Flat"
"1330216","Al Barsha South Fourth","87.96","2026","1216","2026-02-23 13:04:51","1330216.11","87.96","Unit","Flat"
"1332710","Burj Khalifa","94.11","2026","1243","2026-02-24 11:42:41","1332709.94","94.11","Unit","Office"
"1336015","Hor Al Anz","248.24","2026","1006","2026-02-12 10:45:07","1336015","248.24","Land","Residential"
"1346514","Al Thanyah Third","70.44","2026","2158","2026-04-27 18:35:42","1346513.71","70.44","Unit","Flat"
"1364970","Hor Al Anz","211.35","2026","1924","2026-04-14 09:55:02","1364970","211.35","Land","Residential"
"1365961","Jabal Ali First","100.89","2026","1876","2026-04-09 18:52:50","1365960.67","100.89","Unit","Flat"
"1371870","Um Hurair Second","86.33","2026","2008","2026-04-17 12:27:51","1371870.1","86.33","Unit","Flat"
"1375013","Abu Hail","232.26","2026","1700","2026-03-31 12:23:07","1375013","232.26","Land","Residential"
"1378857","Wadi Al Safa 5","160.26","2026","145","2026-01-07 10:26:13","1378857.27","160.26","Building","Villa"
"1400000","Al Rashidiya","334.45","2026","102","2026-01-06 14:37:01","1400000","334.45","Land","Residential"
"1400000","Al Waheda","232.26","2026","1523","2026-03-16 13:53:05","1400000","232.26","Land","Residential"
"1400000","Al Twar Fourth","306.58","2026","701","2026-01-31 19:15:57","1400000","306.58","Land","Residential"
"1400000","Al Barsha South Fourth","91.91","2026","954","2026-02-11 10:48:55","1400000","91.91","Unit","Flat"
"1400013","Abu Hail","464.52","2026","2035","2026-04-20 11:26:19","1400013","464.52","Land","Commercial"
"1413168","Business Bay","77.09","2026","1406","2026-03-06 11:11:44","1413167.68","77.09","Unit","Flat"
"1440632","Al Thanyah Fifth","102.7","2026","1484","2026-03-13 09:45:17","1440631.99","102.7","Unit","Office"
"1441017","Al Warsan Third","535.5","2026","2062","2026-04-21 12:22:02","1441017","535.5","Land","Residential / Attached Villas"
"1441017","Al Warsan Third","535.5","2026","1759","2026-04-02 17:36:58","1441017","535.5","Land","Residential / Attached Villas"
"1441017","Al Warsan Third","535.5","2026","2063","2026-04-21 12:29:35","1441017","535.5","Land","Residential / Attached Villas"
"1458598","Business Bay","77.08","2026","1551","2026-03-18 11:42:27","1458597.55","77.08","Unit","Flat"
"1461059","Al Thanyah Fifth","102.7","2026","1902","2026-04-13 12:17:21","1461058.79","102.7","Unit","Office"
"1480652","Hor Al Anz","239.23","2026","1113","2026-02-17 08:47:21","1480652","239.23","Land","Residential"
"1489164","Al Thanayah Fourth","165.04","2026","1220","2026-02-23 20:34:16","1489164.2","165.04","Building","Villa"
"1500000","Wadi Al Safa 3","115.74","2026","54","2026-01-05 12:10:53","1500000","115.74","Unit","Flat"
"1500000","Al Waheda","455.22","2026","476","2026-01-20 09:39:39","1500000","455.22","Land","Residential"
"1500000","Madinat Hind 4","112.24","2026","1177","2026-02-19 13:57:31","1500000","112.24","Land","Residential"
"1500014","Abu Hail","232.26","2026","1925","2026-04-14 10:00:33","1500014","232.26","Land","Residential"
"1501564","Al Warsan Third","465","2026","2174","2026-04-28 13:49:26","1501564","465","Land","Residential / Attached Villas"
"1520326","Al Thanyah Fifth","97.18","2026","950","2026-02-11 04:14:36","1520325.72","97.18","Unit","Office"
"1537522","Marsa Dubai","100.71","2026","1895","2026-04-13 09:16:34","1537522.08","100.71","Unit","Flat"
"1550000","Al Barsha South Fourth","118.87","2026","202","2026-01-08 21:09:01","1550000","118.87","Unit","Flat"
"1556786","Palm Jumeirah","66.91","2026","2030","2026-04-20 11:00:53","1556785.76","66.91","Unit","Flat"
"1557471","Business Bay","100.99","2026","1334","2026-03-02 09:59:03","1557470.59","100.99","Unit","Office"
"1558837","Al Barsha South Fourth","111.67","2026","539","2026-01-21 19:55:19","1558837.4","111.67","Unit","Flat"
"1562709","Al Merkadh","76.73","2026","1348","2026-03-02 13:16:47","1562709.2","76.73","Unit","Flat"
"1563608","Al Khairan First","71.08","2026","868","2026-02-06 11:18:19","1563607.87","71.08","Unit","Flat"
"1576495","Marsa Dubai","72.93","2026","1222","2026-02-23 20:59:56","1576495.19","72.93","Unit","Flat"
"1578197","Al Merkadh","77.53","2026","1349","2026-03-02 13:19:20","1578196.53","77.53","Unit","Flat"
"1581176","Al Khairan First","65.5","2026","1454","2026-03-11 10:07:33","1581175.61","65.5","Unit","Flat"
