PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
"4137","Sobha SkyParks","966","SOBHA L.L.C","2026-04-01 00:00:00","2032-12-31 00:00:00","2025-12-25 10:26:42","Normal","1340851759","29411206","ACTIVE","0","2025-10-22 14:53:33","","Proposed Residential Development consisting of 5 Basement + Ground + 11 Podiums + 98 Floors + Roof ","Business Bay","Dubai Municipality","0","0","0","684",""
"4138","Nionis Residences - Interiors by Karl Lagerfeld Maison","1972","VAAM REAL ESTATE L.L.C","2026-02-24 00:00:00","2029-02-01 00:00:00","","Normal","37542582","","PENDING","","","","Residential Building (UG/G +1 Podium + 6 Floors + Roof ) With Swimming Pool @ Roof","Palm Deira","","0","0","0","50",""
"4141","Azizi Lina","1002","AZIZI DEVELOPMENTS L.L.C","2026-02-03 00:00:00","2028-09-30 00:00:00","2026-04-03 12:08:56","Normal","52698200","011178617018","ACTIVE","2","2026-03-17 17:15:53","","RESIDENTIAL/ RETAIL BUILDING 4B+G+3P+8+RF","Jabal Ali Industrial Second","Trakhees","0","0","0","242",""
"4142","DIVINE ELEMENTS ","1520","TAKMEEL REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2027-12-31 00:00:00","2025-11-06 15:19:40","Normal","20000000","200892061","ACTIVE","0","2025-10-15 15:19:29","","G+04 Residential Building ","Madinat Al Mataar","Dubai South","0","0","0","90",""
"4145","J188","1901","JAD GLOBAL REAL ESTATE DEVELOPMENT L.L.C","2026-04-01 00:00:00","2028-04-30 00:00:00","2025-12-29 10:59:50","Normal","60000000","001582227914701","ACTIVE","0","2025-11-07 12:01:11","","G+2P+13+R Residencial Building","Al Jadaf","Dubai Development Authority (DDA)","0","0","0","131",""
"4146","PEACE AVENUE BY PEACE HOMES","1745","PEACE HOMES DEVELOPMENT L.L.C","2026-01-01 00:00:00","2029-01-31 00:00:00","2026-01-13 12:50:19","Normal","57236989","01434279269","ACTIVE","0","2025-10-08 18:49:42","","Residential and commercial building 2B + G + 3 POD + 14 Floor + Roof","Jabal Ali Industrial Second","Trakhees","0","0","0","266",""
"4147","SKY HARMONY BY PEACE HOMES","2387","PEACE HOMES INTERNATIONAL DEVELOPMENT L.L.C","2026-01-20 00:00:00","2029-01-20 00:00:00","2026-02-12 15:44:06","Normal","36332424","14355169920004","ACTIVE","0","2025-10-08 18:34:59","","G + 4P + 12 Residential Building","Al Barsha South Fourth","","0","0","0","197",""
"4149","ROSEWELL","1162","NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C","2026-04-15 00:00:00","2028-12-31 00:00:00","2025-10-31 08:54:35","Normal","171048510","4031224702173104","ACTIVE","0","2025-10-09 11:56:34","","G+P+15+parking in GF & Podium floors ","Al Yelayiss 2","Dubai Development Authority (DDA)","0","0","0","217",""
"4156","Palm Central Private Residences - Frond M","104","THE PALM - JEBEL ALI CO. (L.L.C)","2026-01-02 00:00:00","2029-07-31 00:00:00","2025-10-27 11:17:17","Normal","489385000","4031226981289002","ACTIVE","0","2025-10-16 13:37:10","","Residential Buildings comprising of 212 Residential units (1BHK=72, 2BHK=72, 3BHK=48, 4BHK=8, 4BR TH = 8, 5BHK=2, PH=2) as follows :

-	Building A : B+G+6+R
(72 Residential Units).

-	Building B: B+G+6+R
(72 Residential Units).

-	Building C: G+6+R
(68 Residential Units).
","Palm Jabal Ali","Trakhees","0","0","0","212",""
"4157","Helvetia Marine","1619","D H G PROPERTY DEVELOPMENT L.L.C","2026-01-23 00:00:00","2028-03-15 00:00:00","2025-11-26 13:26:04","Normal","37200000","29436525","ACTIVE","0","2025-10-14 10:57:17","","G+2P+8 Residential ","Palm Deira","Trakhees","0","0","0","63",""
"4160","Terra Gardens","1237","DWTC EMAAR L.L.C","2026-04-17 00:00:00","2029-10-31 00:00:00","2025-10-27 12:59:38","Normal","557688529","001640218307801","ACTIVE","0","2025-10-15 14:08:45","","The project consists of 2 buildings - B+G+12 a shared basement and a shared ground floor,
 in addition to two residential buildings with 12 floors plus a roof each
along with 8 townhouses. The project includes a total of 560 residential units.
","Madinat Al Mataar","Dubai Municipality","0","0","0","561",""
"4162","Grand Polo - Equiterra 2","1211","EMAAR DEVELOPMENT P.J.S.C.","2026-02-09 00:00:00","2029-07-31 00:00:00","2025-10-30 15:24:18","Normal","407037034","001640218948401","ACTIVE","1.04","2026-04-24 15:32:13","","Residential development consisting of 384 townhouse units (G+1)","Dubai Investment Park Second","Dubai Municipality","0","0","384","0",""
"4163","Waada - Altura 1","2254","BT PROPERTIES DWC LLC","2026-04-13 00:00:00","2029-04-12 00:00:00","2025-11-05 12:27:04","Normal","162081745","012719009423","ACTIVE","0","2025-10-16 15:31:40","","2B+G+3P+28F","Madinat Al Mataar","Dubai South","0","0","0","381",""
"4166","Shahrukhz by Danube","1009","DANUBE PROPERTIES DEVELOPMENT L.L.C","2026-01-01 00:00:00","2029-06-30 00:00:00","2025-11-11 11:54:13","Normal","350000000","4031221746692066","ACTIVE","1.22","2026-04-17 14:34:51","","Commercial - 6B+G+3P+41F+1MECH+R","Al Safouh First","Dubai Development Authority (DDA)","0","0","0","917",""
"4168","VIVIDA Residences","2372","N A M O REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2027-09-30 00:00:00","2026-03-26 13:12:54","Normal","25000000","3538514517303","ACTIVE","","","","G+4+R Residential Building","Madinat Al Mataar","Dubai South","0","0","0","66",""
"4174","Le Blanc Residence by Imtiaz","2275","IMTIAZ COVE REAL ESTATE DEVELOPMENT L.L.C","2026-01-15 00:00:00","2028-10-15 00:00:00","2025-12-15 12:11:05","Normal","115101572","011184071016","ACTIVE","0.42","2026-03-30 08:07:07","","B+G+3P+17+R - Residential Building","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","323",""
"4175","Vista by Vision","1806","CLEAR VISION REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2027-09-01 00:00:00","2025-11-18 16:18:01","Normal","75000000","80260600000078","ACTIVE","0","2025-10-22 17:30:15","","B+G+14+R Residential Building ","Me'Aisem First","Dubai Development Authority (DDA)","0","0","0","328",""
"4176","368 Park Ln","1062","TABEER REAL ESTATE DEVELOPMENT L.L.C","2026-02-28 00:00:00","2028-08-31 00:00:00","2026-01-13 11:51:38","Normal","60000000","1011226170006005","ACTIVE","0","2025-11-04 13:46:02","","UG+1B+G+4P+14+R Residential building","Al Barsha South Fourth","Trakhees","0","0","0","213",""
